country,director,genres,id_IMDb,name,rating_IMDb,year
Россия,Ольга Савостьянова,публицистический,unknown,Гибель империи. Византийский урок,unknown,2008
СССР,Ян Фрид,"комедия,мелодрама,музыкальный фильм",0193017,Благочестивая Марта (фильм),6.8,1980
СССР,Юрий Соломин,"приключенческий фильм,исторический фильм,биографический фильм,драма",0262272,Берег его жизни,7.7,1984
СССР,Владимир Бортко,драма,0166097,"Без семьи (фильм, 1984)",7.8,1984
СССР,Александр Карпов,драма,4663252,Белая земля,6.7,1970
СССР,"Владимир Чеботарёв,Александр Боголюбов",военный фильм,0088777,Батальоны просят огня (фильм),7.9,1985
Россия,Александр Мержанов,документальный,unknown,Генерал звёздных войн,unknown,2010
СССР,Александр Сурин,драма,0306508,Баллада о комиссаре,5.1,1967
СССР,"Константин Бромберг ,Иосиф Гиндин","детский фильм,драма",0150007,Был настоящим трубачом,6.5,1973
СССР,"Александр Гуткович,Михаил Ганкин",драма,5237978,Атланты и кариатиды (фильм),5.8,1980
СССР,Расим Исмайлов,детский фильм,1577780,"Асиф, Васиф, Агасиф",8.1,1983
СССР,Борис Степанцев,мелодрама,0166491,Ассоль (телефильм),6.3,1982
СССР,Марионас Гедрис,драма,unknown,Выставка (фильм),unknown,1987
СССР,Нана Двалишвили,Музыкальный фильм,0821758,Бабушка для всех,4.6,1987
СССР,Аугуст Балтрушайтис,"детский фильм,фильм о животных",0315848,Боба и слон,6.0,1972
США,"Джордж Лаву,англ,рус",драма,0808232,"Год собаки (фильм, 2009)",6.0,2009
СССР,Валерий Ахадов,"лирическая ,комедия",1636728,Апрельские сны,None,1980
СССР,Леонид Квинихидзе,"лирическая,комедия",0094679,Артистка из Грибова,6.3,1988
США,Пол Краудер,документальный,2518788,1 (документальный фильм),7.9,2013
СССР,Анар Рзаев,"биографический фильм,драма,комедия,мюзикл",1198151,Аккорды долгой жизни,8.2,1981
СССР,Ольгерд Воронцов,музыкальная комедия,1407930,"Алло, Варшава!",5.4,1971
СССР,Леонид Пчёлкин,драматический фильм,0078745,Активная зона (фильм),6.2,1979
СССР,Юрий Степчук,сказка,1718717,"Акмаль, дракон и принцесса",5.7,1981
СССР,Самсон Самсонов,драма,0174472,"Арена (фильм, 1967)",5.5,1967
США,Роберт Дэй,Драма,0088536,Голливудские жёны (мини-сериал),6.3,1985
unknown,Марк Дэниелс,unknown,unknown,Время обнажиться,unknown,2266
unknown,Лео Пенн,unknown,unknown,Враг изнутри,unknown,2266
СССР,Вирве Аруоя,драма,1921041,Актёр Йоллер,6.2,1960
СССР,Искандер Хамраев,"драма,детектив",0100831,"Адвокат (фильм, 1990)",7.8,1990
СССР,Сергей Тарасов,"драма,приключения",0305231,Антарктическая повесть,7.0,1979
СССР,Виктор Абросимович Титов,"комедийная,драма",0080332,Адам женится на Еве,6.3,1980
"США,Канада",Пол Шапиро,комедия,0110000,Головы,5.2,1994
СССР,Геннадий Харлан,"сказка,комедия",0231141,Андрей и злой чародей,4.9,1981
Великобритания,"Теа Шеррок,англ,рус","драма,исторический фильм",2150275,"Генрих V (фильм, 2012)",8.3,2012
СССР,Валерий Ахадов,детектив,unknown,"Вперёд, гвардейцы!",unknown,1972
США,Роджер Янг,"приключения,фэнтези",0420408,"Геракл (фильм, 2005)",5.6,2005
